available_spots,capacity,prefix,course_number,type,section,title,credits,time,days,room,building,spec,instructor,session,additional_meet_times,additional_meet_days,additional_notes
96,3,CSC,9000,RES,5,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,ALI-GOMBE A,Normal,,,
(F),5,CSC,9000,RES,6,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,BAGGILI I,Normal,,,
96,3,CSC,9000,RES,7,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,SUN M,Normal,,,
97,2,CSC,9000,RES,8,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,ZHANG J,Normal,,,
95,4,CSC,9000,RES,9,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,RICHARD G,Normal,,,
2,3,CSC,9000,RES,10,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,KAISER H,Normal,,,
97,2,CSC,9000,RES,11,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,LEE K,Normal,,,
98,1,CSC,9000,RES,12,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,KARKI B,Normal,,,
98,1,CSC,9000,RES,13,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,MUKHOPADHYAY,Normal,,,
97,2,CSC,9000,RES,14,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,BAUMGARTNER G,Normal,,,
98,1,CSC,9000,RES,15,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,SHAH R,Normal,,,
98,1,CSC,9000,RES,16,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,MAHMOUD A,Normal,,,
96,3,CSC,9000,RES,17,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,SHEPHERD D,Normal,,,
98,1,CSC,9000,RES,19,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,TRIANTAPHYLLO,Normal,,,
97,2,CSC,9000,RES,20,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,WANG Q,Normal,,,
97,2,CSC,9000,RES,21,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,ZHOU X,Normal,,,
97,2,CSC,9000,RES,22,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,CHEN J,Normal,,,
94,5,CSC,9000,RES,23,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,VADREVU K,Normal,,,
97,2,CSC,9000,RES,24,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,FAROOQ U,Normal,,,
17,3,CSC,9000,RES,25,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,FARHEEN T,Normal,,,
17,3,CSC,9000,RES,26,DISSERTATION RES,1-12,TBA,,,,PERMIS OF DEPT,BOU-HARB E,Normal,,,
20,15,CSC,7510,,3,CLOUD & ENT SYS,3.0,TBA,,,,100% WEB BASED,WANG Q,B,,,WORLD WIDE WEB-BASED DELIVERY
(F),44,CSC,7333,,1,MACHINE LEARNING,3.0,TBA,,,,100% WEB BASED,CHEN J,C,,,WORLD WIDE WEB-BASED DELIVERY
26,14,MATH,1020,,101,COREQ FOR MATH 1021,2.0,730-0820,M,0239,LOCKETT,,WEBER J,Normal,,,THIS SECTION IS LINKED TO MATH 1021 101
29,11,MATH,1020,,102,COREQ FOR MATH 1021,2.0,830-0920,M,0239,LOCKETT,,HEIDERCHEIDT,Normal,,,THIS SECTION IS LINKED TO MATH 1021 102
138,37,MATH,1020,,103,COREQ FOR MATH 1021,2.0,930-1020,M,B016,LOCKETT,,KURTZ S,Normal,,,THIS SECTION IS LINKED TO MATH 1021 103
20,20,MATH,1020,,104,COREQ FOR MATH 1021,2.0,930-1020,M,0239,LOCKETT,,ABONGO T,Normal,,,THIS SECTION IS LINKED TO MATH 1021 104
8,32,MATH,1020,,105,COREQ FOR MATH 1021,2.0,1030-1120,M,0239,LOCKETT,,ENNIS C,Normal,,,THIS SECTION IS LINKED TO MATH 1021 105
5,35,MATH,1020,,106,COREQ FOR MATH 1021,2.0,1130-1220,M,0239,LOCKETT,,WALLACE A,Normal,,,THIS SECTION IS LINKED TO MATH 1021 106
37,3,MATH,1020,,107,COREQ FOR MATH 1021,2.0,1230-0120,M,0239,LOCKETT,PRE-NURSING STU,MCCOY M,Normal,,,THIS SECTION IS LINKED TO MATH 1021 107
12,28,MATH,1020,,108,COREQ FOR MATH 1021,2.0,130-0220,M,0239,LOCKETT,,GE Y,Normal,,,THIS SECTION IS LINKED TO MATH 1021 108
34,6,MATH,1020,,111,COREQ FOR MATH 1021,2.0,730-0820,T,0239,LOCKETT,,KAPITA J,Normal,,,THIS SECTION IS LINKED TO MATH 1021 111
29,11,MATH,1020,,112,COREQ FOR MATH 1021,2.0,830-0920,T,0239,LOCKETT,,LEMOINE M,Normal,,,THIS SECTION IS LINKED TO MATH 1021 112
16,24,MATH,1020,,113,COREQ FOR MATH 1021,2.0,930-1020,T,0239,LOCKETT,,GARDNER J,Normal,,,THIS SECTION IS LINKED TO MATH 1021 113
18,22,MATH,1020,,114,COREQ FOR MATH 1021,2.0,1030-1120,T,0239,LOCKETT,,GOINGS S,Normal,,,THIS SECTION IS LINKED TO MATH 1021 114
18,22,MATH,1020,,115,COREQ FOR MATH 1021,2.0,1130-1220,T,0239,LOCKETT,,MONDAL K,Normal,,,THIS SECTION IS LINKED TO MATH 1021 115
21,19,MATH,1020,,116,COREQ FOR MATH 1021,2.0,1230-0120,T,0239,LOCKETT,,OKEMWA E,Normal,,,THIS SECTION IS LINKED TO MATH 1021 116
25,15,MATH,1020,,117,COREQ FOR MATH 1021,2.0,130-0220,T,0239,LOCKETT,,PANDEY M,Normal,,,THIS SECTION IS LINKED TO MATH 1021 117
5,35,MATH,1021,,1,COLLEGE ALGEBRA,3.0,1230-0120,M,0277,LOCKETT,,WADDELL L,Normal,TBA,,
5,35,MATH,1021,,2,COLLEGE ALGEBRA,3.0,130-0220,M,0277,LOCKETT,,AGBOLADE O,Normal,TBA,,
8,32,MATH,1021,,3,COLLEGE ALGEBRA,3.0,1030-1120,T,0277,LOCKETT,,ASANTE E,Normal,TBA,,
9,31,MATH,1021,,4,COLLEGE ALGEBRA,3.0,1130-1220,T,0277,LOCKETT,,ASANTE E,Normal,TBA,,
